Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
F1_TS1,Chrome 68.0.3440.106,,2018-09-19 10:34:59,2018-09-19 10:35:13,13.572s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-09-19 10:35:00,2018-09-19 10:35:12,11.777s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 10:35:00,2018-09-19 10:35:07,6.988s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Navigate to login page,2018-09-19 10:35:07,2018-09-19 10:35:09,1.656s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter username,2018-09-19 10:35:09,2018-09-19 10:35:09,0.186s,PASSED
sendKeys,Chrome 68.0.3440.106,Enter password,2018-09-19 10:35:09,2018-09-19 10:35:09,0.087s,PASSED
click,Chrome 68.0.3440.106,Click on login button,2018-09-19 10:35:09,2018-09-19 10:35:12,2.396s,PASSED
"Statement - actual = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Home/txt_UserPanel), STOP_ON_FAILURE)",Chrome 68.0.3440.106,Get user welcome text,2018-09-19 10:35:12,2018-09-19 10:35:12,0.083s,PASSED
"Statement - expected = ""Welcome, patest01 [Logout]""",Chrome 68.0.3440.106,,2018-09-19 10:35:12,2018-09-19 10:35:12,0.000s,PASSED
verifyMatch,Chrome 68.0.3440.106,Verify the welcome text,2018-09-19 10:35:12,2018-09-19 10:35:12,0.025s,PASSED
